,Restaurant Name,Address,Category,Rating,Number of Reviews,Price($),Price(1-5),Latitude,Longitude,coordinates,Distance
269,North Of Brooklyn,229 Geary Avenue,Pizza,4.0,42,,0,43.669227255581696,-79.43916335090452,"43.669227255581696,-79.43916335090452",11133
270,Good Behaviour,1324A Gerrard Street E,Sandwiches,4.5,6,,0,43.67162640908749,-79.32564631365352,"43.67162640908749,-79.32564631365352",8292
271,416 Snack Bar,181 Bathurst Street,Tapas/Small Plates,4.0,339,$$,2,43.64755,-79.40385,"43.64755,-79.40385",2665
272,SARA,98 Portland Street,Canadian (New),4.0,77,,0,43.64519,-79.40062,"43.64519,-79.40062",1810
273,Sash,1133 Yonge Street,Canadian (New),4.0,14,,0,43.68186,-79.39109,"43.68186,-79.39109",5529
274,Bar Isabel,797 College Street,Spanish,4.0,454,$$$,3,43.654631,-79.4207738,"43.654631,-79.4207738",4304
275,Hendriks Restaurant & Bar,218 Yonge Street,American (Traditional),4.0,112,$$$,3,43.653501,-79.380048,"43.653501,-79.380048",2196
276,Dreyfus,96 Harbord Street,French,4.0,31,,0,43.66302,-79.40327,"43.66302,-79.40327",3367
277,Zeal Burgers,1926 Weston Road,Burgers,5.0,139,$$,2,43.7002764,-79.5170776,"43.7002764,-79.5170776",16312.999999999998
278,La Cubana,92 Ossington Avenue,Cuban,4.0,225,$$,2,43.6462083,-79.419674,"43.6462083,-79.419674",4109
279,Mother Tongue,348 Adelaide Street W,Cocktail Bars,4.0,62,,0,43.64739,-79.39327,"43.64739,-79.39327",1487
280,Miss Likklemore's,433 King Street W,Caribbean,4.5,9,,0,43.64511981042632,-79.39534954726696,"43.64511981042632,-79.39534954726696",1167
281,Hibachi Teppanyaki & Bar,550 Wellington Street W,Japanese,3.5,111,$$$,3,43.6431385252454,-79.4020506514614,"43.6431385252454,-79.4020506514614",1747
282,Momo Hut & Gardens,401 Danforth Avenue,Himalayan/Nepalese,4.5,116,$$,2,43.6773492,-79.3513541,"43.6773492,-79.3513541",10136
283,Sisters & Co,887 Dundas Street West,Breakfast & Brunch,4.5,109,$$,2,43.65097,-79.41172,"43.65097,-79.41172",3212
284,Zaad,348 Bloor Street West,Middle Eastern,4.5,58,$$,2,43.66672,-79.40455,"43.66672,-79.40455",5621
285,Le Phenix,1263 Queen Street W,Canadian (New),4.5,21,,0,43.641608075821246,-79.43111082278233,"43.641608075821246,-79.43111082278233",5796
286,Rosedale Diner,1164 Yonge Street,Diners,3.5,113,$$,2,43.68036,-79.3912299,"43.68036,-79.3912299",5362
287,Pho Tien Thanh,57 Ossington Avenue,Vietnamese,4.0,440,$,1,43.6455399,-79.41896,"43.6455399,-79.41896",4003.9999999999995
288,Swatow Restaurant,309 Spadina Avenue,Chinese,4.0,445,$$,2,43.65386120961627,-79.3980811441803,"43.65386120961627,-79.3980811441803",2284
289,Corks,15 York Street,Tapas/Small Plates,4.0,27,$,1,43.64234,-79.38083,"43.64234,-79.38083",495
290,Oniguy,755 Dundas St W,Japanese,4.5,3,,0,43.65204,-79.40649,"43.65204,-79.40649",3236
291,Paddler,1710 Queen Street W,Thai,4.5,6,,0,43.63909,-79.44515,"43.63909,-79.44515",5892
292,Little Sister,102 Portland Street,Bars,3.5,23,,0,43.6452852,-79.4006871,"43.6452852,-79.4006871",1798
293,Public School,90 Bloor Street E,Cafes,4.0,3,,0,43.6708779,-79.3845954,"43.6708779,-79.3845954",4976
294,Miss Fu In Chengdu,637 Yonge St,Chinese,4.0,4,,0,43.66748,-79.38535,"43.66748,-79.38535",3920
295,Maha's,226 Greenwood Avenue,Egyptian,4.0,573,$$,2,43.67167,-79.32853,"43.67167,-79.32853",7178
296,The Butcher Chef,8 Harbour St,Steakhouses,4.5,11,,0,43.6430184,-79.3757759,"43.6430184,-79.3757759",1271
297,Pastor Taco,245 Gerrard Street E,Ice Cream & Frozen Yogurt,4.5,9,,0,43.66190882473235,-79.36905132149519,"43.66190882473235,-79.36905132149519",4171
298,Good Fork,1550 Dundas Street W,Breakfast & Brunch,4.0,383,$$,2,43.6499162,-79.4335594,"43.6499162,-79.4335594",6647
299,The Eagle Twins Restaurant,954 St Clair Avenue W,Breakfast & Brunch,4.0,14,$,1,43.67981,-79.43602,"43.67981,-79.43602",9772
300,Tsuchi Cafe,688 College St,Desserts,4.5,23,,0,43.6554483,-79.4176171,"43.6554483,-79.4176171",4040
301,Café Polonez,195 Roncesvalles Avenue,Polish,4.5,283,$$,2,43.64514,-79.44831,"43.64514,-79.44831",6927
302,Nam Wan,713 Gerrard St E,Cafes,4.5,13,,0,43.66628,-79.34804,"43.66628,-79.34804",5453
303,Sakawa Coffee & Japanese Restaurant,867 Danforth Ave,Japanese,4.0,115,$$,2,43.67971,-79.33964,"43.67971,-79.33964",10813
304,Poong Moon,6070 Yonge Street,Asian Fusion,4.5,26,,0,43.79058,-79.41854,"43.79058,-79.41854",28662
305,The House On Parliament,454 Parliament Street,British,4.0,316,$$,2,43.66359,-79.36794,"43.66359,-79.36794",4198
306,CANO Restaurant,1108 St Clair Avenue W,Italian,4.5,64,$$,2,43.67871,-79.44058,"43.67871,-79.44058",12364
