Restaurant Name,Address,Category,Rating,Number of Reviews,Price($),Price(1-5),Latitude,Longitude
Maxim's Restaurant,257 Keefer St,Bakeries,4.0,25,$$,2,49.27969,-123.09785
Symphonie Restaurant,1140 Pender Street W,Filipino,4.0,47,$,1,49.287763115894954,-123.12195483585218
Shameless Buns,5772 Fraser St,Filipino,4.0,19,,0,49.2321494,-123.0904023
Hendricks Resto-Lounge,433 Robson Street,Lounges,4.0,23,$$,2,49.27984,-123.11688
L'ufficio,3689 W 4th Avenue,Wine Bars,4.0,8,$$$$,4,49.2687649,-123.1853601
PappaRoti,1505 Robson Street,Coffee & Tea,4.0,250,$,1,49.2889087,-123.1312063
Hon's Wonton House,25 E 2nd Avenue,Chinese,3.0,57,,0,49.2694661422672,-123.104120051588
Pho Khanh Express,910 Beatty Street,Vietnamese,4.0,30,,0,49.2763,-123.11561
The Garden Strathcona,868 E Hastings Street,Cafes,5.0,36,,0,49.28076,-123.08563
Addah,555 Gore Avenue,Himalayan/Nepalese,4.5,4,,0,49.27969,-123.09752
Tacofino,1909 W 4th Ave,Mexican,4.0,27,,0,49.2681862,-123.148206
Pink Elephant Cafe,5601 Dunbar Street,Coffee & Tea,4.5,5,,0,49.2355585,-123.1854849
Wildeye Bistro,1385 Main Street,Bistros,5.0,1,,0,49.30556,-123.03485
I & I Jamaican Restaurant,2528 Kingsway,Caribbean,4.0,19,,0,49.239579,-123.0534672
The Farmer's Apprentice,1535 W 6th Avenue,French,3.5,180,$$$,3,49.2662176,-123.1395648
One Noodle,887 W Broadway,Noodles,3.0,13,,0,49.2635900919731,-123.123886249959
Calabash Bistro,428 Carrall Street,Caribbean,4.0,285,$$,2,49.281004479966,-123.104228199529
Osita,1728 Commercial Drive,Canadian (New),4.0,2,,0,49.269214143045055,-123.06945685297252
Mirchi Restaurant,7964 Granville Street,Indian,4.5,106,$$,2,49.21353,-123.13995
Minerva Restaurant,2411 W 41st Avenue,Pizza,3.5,104,$$,2,49.2346862,-123.1615423
El Comal,7650 Winston Street,Mexican,4.0,50,$,1,49.247876818077,-122.940112248954
Bigsby the Bakehouse,4894 Mackenzie Street,Comfort Food,4.0,31,$$,2,49.2425994873047,-123.170082092285
Yook Korean Grilled BBQ & Bistro,2408 Nanaimo Street,Korean,4.0,88,$$,2,49.2629225,-123.0564851
Anita's Kitchen,1055 Dunsmuir St,Restaurants,4.5,12,,0,49.28655,-123.12092
The Hide Out Diner,101-1951 Glen Drive,Breakfast & Brunch,4.5,13,,0,49.2688895,-123.0811837
Caffe Mira,1225 Burrard St,Cafes,5.0,16,,0,49.2787456,-123.129878
Chi Vegan,1935 W 4th Avenue,Vietnamese,4.0,201,$$,2,49.2681947,-123.1487738
Autostrada Osteria,350 W Pender st,Italian,5.0,4,,0,49.2823159,-123.1114907
I Cafe,2525 Heather St,Chinese,3.0,63,$$,2,49.2630451,-123.1200749
Vancouver Soup,292 East 1st Avenue,Soup,5.0,4,,0,49.2684296,-123.0976864
Havana,1212 Commercial Drive,Latin American,3.5,369,$$,2,49.273708,-123.069271
Mitra Canteen,3034 Main St,Mediterranean,4.0,79,$,1,49.2580931,-123.1009495
To Live For Bakery,1508 Nanaimo Street,Bakeries,5.0,7,$,1,49.27121199258215,-123.0565958
Collective Goods Bistro & Grocer,3532 Commercial Street,Grocery,4.0,13,,0,49.2531205,-123.0678002
Yolks,1598 E Hastings Street,Breakfast & Brunch,4.0,431,$$,2,49.281081,-123.072931
Nene Chicken,1231 Davie Street,Korean,4.0,13,,0,49.28213556680251,-123.13360992819071
Lu Lu BBQ,4660 Hastings Street,Barbeque,4.0,13,,0,49.280888,-122.998234
The Red Wagon,2128 East Hastings Street,Diners,4.0,613,$$,2,49.2810251,-123.0612674
Burdock,2702 Main Street,Tapas/Small Plates,3.5,174,$$,2,49.26092,-123.10066
Malaysia St,3932 Fraser Street,Desserts,4.5,8,,0,49.2497846,-123.0899099
Super Baked,127 West 2nd Avenue,Pizza,5.0,1,,0,49.2694489,-123.1076129
El Camino's,3250 Main Street,Latin American,3.5,199,$$,2,49.2561154,-123.1010503
The Italians,1220 Bute Street,Italian,4.0,49,$$$,3,49.2811838,-123.1340286
Feast & Fallow,305 W 41st Avenue,Cafes,5.0,2,,0,49.233715,-123.112521
